Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Variant SKU,Variant Price,Image Src
10-guy,10 Guy,,CBB,Sticker,"meme",FALSE,10-GUY,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/10_Guy/10_Guy.webp
1990s-kid,1990s Kid,,CBB,Sticker,"meme",FALSE,1990S-KID,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/1990s_Kid/1990s_Kid.webp
accepting-this-is-fine,Accepting This Is Fine,,CBB,Sticker,"meme",FALSE,ACCEPTING-THIS-IS-FINE,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Accepting_This_Is_Fine/Accepting_This_Is_Fine.webp
actual-advice-mallard,Actual Advice Mallard,,CBB,Sticker,"meme",FALSE,ACTUAL-ADVICE-MALLARD,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Actual_Advice_Mallard/Actual_Advice_Mallard.webp
adamant-change-my-mind,Adamant Change My Mind,,CBB,Sticker,"meme",FALSE,ADAMANT-CHANGE-MY-MIND,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Adamant_Change_My_Mind/Adamant_Change_My_Mind.webp
advice-animals,Advice Animals,,CBB,Sticker,"meme",FALSE,ADVICE-ANIMALS,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Advice_Animals/Advice_Animals.webp
advice-dog,Advice Dog,,CBB,Sticker,"meme",FALSE,ADVICE-DOG,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Advice_Dog/Advice_Dog.webp
aliens,Aliens,,CBB,Sticker,"meme",FALSE,ALIENS,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Aliens/Aliens.webp
always-has-been,Always Has Been,,CBB,Sticker,"meme",FALSE,ALWAYS-HAS-BEEN,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Always_Has_Been/Always_Has_Been.webp
always-has-been-variation-,Always Has Been Variation ,,CBB,Sticker,"meme",FALSE,ALWAYS-HAS-BEEN-VARIATION-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Always_Has_Been_Variation_/Always_Has_Been_Variation_.webp
